ts,label,qx,qy,qz,qw,px,py,pz
1765852792.958983,PASSA,-0.11590227104020899,0.0697423157783911,0.07363703844559627,0.9880689548440184,5.224233993256453e-07,-3.3077692121775364e-07,7.356849367493201e-08
1765852792.9590604,PASSA,-0.11590485651192148,0.06977053382189172,0.07364308442981816,0.9880662087951504,5.119749313391324e-07,-3.2416138279339855e-07,7.209712380143338e-08
1765852792.960641,PASSA,-0.11593693356575349,0.06998283304422526,0.07370730828516196,0.9880426424096435,5.017354327123498e-07,-3.1767815513753057e-07,7.06551813254047e-08
1765852793.0048242,PASSA,-0.11724793088967078,0.0762972699990809,0.07639611071234229,0.987215925499992,4.917007240581028e-07,-3.1132459203477996e-07,6.92420776988966e-08
1765852793.0049124,PASSA,-0.11725468769444126,0.07632926289950154,0.07641527955319637,0.9872111663112936,4.818667095769408e-07,-3.0509810019408435e-07,6.785723614491867e-08
1765852793.006781,PASSA,-0.11731186178359579,0.07659940886364382,0.07665808341990378,0.987164624514571,4.7222937538540195e-07,-2.9899613819020266e-07,6.65000914220203e-08
1765852793.0068753,PASSA,-0.1173168585474785,0.07663024056223325,0.0766944385980506,0.9871588139808383,4.627847878776939e-07,-2.930162154263986e-07,6.51700895935799e-08
1765852793.0500038,PASSA,-0.11763313734134587,0.08386806317338802,0.08839299935480387,0.9855532814839787,4.5352909212014003e-07,-2.871558911178706e-07,6.38666878017083e-08
1765852793.050113,PASSA,-0.11763232684035684,0.0839200528628099,0.08848055448435202,0.985541095991318,4.444585102777372e-07,-2.814127732955132e-07,6.258935404567413e-08
1765852793.0520418,PASSA,-0.11762034966526387,0.08433952545843053,0.08914341951910207,0.9854469790640739,4.3556934007218247e-07,-2.7578451782960294e-07,6.133756696476064e-08
1765852793.094951,PASSA,-0.11757315450704964,0.09653018669655652,0.10657814152686601,0.9825983798807469,4.268579532707388e-07,-2.7026882747301086e-07,6.011081562546543e-08
1765852793.0951285,PASSA,-0.11759364508864034,0.09662135808290015,0.10670526952912114,0.9825731694137086,4.1832079420532404e-07,-2.6486345092355065e-07,5.890859931295612e-08
1765852793.0966856,PASSA,-0.11785974765928112,0.09714377484995952,0.10744615443549349,0.9824090241781246,4.0995437832121754e-07,-2.5956618190507964e-07,5.7730427326696997e-08
1765852793.140071,PASSA,-0.13055273364235537,0.1111535793573267,0.1286472456928631,0.9767552158602497,4.0175529075479316e-07,-2.54374858266978e-07,5.6575818780163056e-08
1765852793.1401882,PASSA,-0.13070315592178564,0.1112309321988704,0.12879014416783952,0.9767074605630299,3.937201849396973e-07,-2.4928736110163843e-07,5.544430240455979e-08
1765852793.1416738,PASSA,-0.13158448672504475,0.11149928724243466,0.12936721283545008,0.9764822353944401,3.8584578124090334e-07,-2.4430161387960566e-07,5.433541635646859e-08
1765852793.183936,PASSA,-0.16341765784570986,0.11597181523875527,0.14268402764851928,0.969271105227246,3.7812886561608526e-07,-2.3941558160201355e-07,5.324870802933922e-08
1765852793.185892,PASSA,-0.1652872736972196,0.11586291991268456,0.14298219347357555,0.9689231101034448,3.7056628830376353e-07,-2.3462726996997326e-07,5.218373386875243e-08
1765852793.18602,PASSA,-0.16549568572887985,0.11582649188710303,0.14299183387643816,0.9688904670946596,3.631549625376883e-07,-2.2993472457057379e-07,5.114005919137738e-08
1765852793.2297838,PASSA,-0.21858067558158592,0.10064695675883571,0.1416705758419671,0.9602198322770095,-0.009876852146543876,-2.2993472457057379e-07,5.114005919137738e-08
1765852793.2298682,PASSA,-0.21889669175315757,0.10050770151078764,0.1416505315301066,0.9601653853340996,-0.009925775776989288,-2.2993472457057379e-07,5.114005919137738e-08
1765852793.2317536,PASSA,-0.22186015438175,0.09897030624622627,0.14141382590517285,0.9596796758409004,-0.010345163118149328,-2.2993472457057379e-07,5.114005919137738e-08
1765852793.231854,PASSA,-0.22215380871380047,0.098801502841518,0.14138303890192355,0.9596336720963196,-0.010374822137892085,-2.2993472457057379e-07,5.114005919137738e-08
1765852793.2749126,PASSA,-0.30635838618861644,0.04333972005970858,0.12529370588678465,0.9426386874843449,-0.018177259831999335,-2.2993472457057379e-07,5.114005919137738e-08
1765852793.2749937,PASSA,-0.30674278373525765,0.04303195497074272,0.12517497219637885,0.9425435490275114,-0.018213231406637456,-2.2993472457057379e-07,5.114005919137738e-08
1765852793.3200681,PASSA,-0.3899331207284273,-0.033324306752957784,0.0916522432233904,0.9156645227650491,-0.02620140854574072,-2.2993472457057379e-07,5.114005919137738e-08
1765852793.32018,PASSA,-0.3904824918601532,-0.0339336712010477,0.09137009962023011,0.9154361989810615,-0.02625569986453839,-2.2993472457057379e-07,5.114005919137738e-08
1765852793.3219764,PASSA,-0.3934984454749061,-0.03752770713078297,0.08965415477378498,0.9141732752263855,-0.026551149691659174,-2.2993472457057379e-07,-2.1667526699516698e-05
1765852793.322089,PASSA,-0.39383764674837085,-0.03795360954929338,0.08943796233655608,0.9140307885508945,-0.02658422118547306,-2.2993472457057379e-07,-2.4392241517173512e-05
1765852793.364882,PASSA,-0.46430285732389287,-0.13737614221436872,0.034205628749492,0.8742886406633786,-0.03388932908992265,-2.2993472457057379e-07,-0.0006262500186061254
1765852793.3649755,PASSA,-0.4646063704443741,-0.1378590310056651,0.03393972275728453,0.8740617274150851,-0.03392267086391748,-2.2993472457057379e-07,-0.0006289970014355659
1765852793.3666747,PASSA,-0.46711838015142887,-0.14229246837236773,0.0317557610264741,0.8720922221937504,-0.03420028472699581,-2.2993472457057379e-07,-0.0006518692251873364
1765852793.4099686,PASSA,-0.5237611314110763,-0.26104297332882825,-0.021769730304259816,0.8105904774552399,-0.04136703346157495,-2.2993472457057379e-07,-0.0012423277808674736
1765852793.4100688,PASSA,-0.5240331613558503,-0.26173866434008963,-0.02205349492003651,0.8101825477944282,-0.04139929114485973,-5.129295311570482e-07,-0.001245012536780423
1765852793.4121833,PASSA,-0.5258245864343242,-0.2672989081139813,-0.024091113977712256,0.8071427483720324,-0.04161497956416627,-3.5455347742651316e-05,-0.001266526260359708
1765852793.4549937,PASSA,-0.5494196421187751,-0.37930469942146494,-0.0625320993372699,0.7418596487229528,-0.024461384889131216,-0.016007448160671414,-0.0017209138132242923
1765852793.4550712,PASSA,-0.5494442429515667,-0.37972604098449997,-0.06268184569606587,0.7416132037024101,-0.02438865771509289,-0.016075011908330786,-0.0017228274980385907
1765852793.4568093,PASSA,-0.548840494848532,-0.38264802531258285,-0.06363935642389161,0.7404759498138694,-0.023698900956038875,-0.016693585932180555,-0.001739724683694851
1765852793.499808,PASSA,-0.5194407036049355,-0.44329369257018825,-0.07491053410320529,0.726677692960414,0.02719894715512336,-0.044092508790565706,-0.0021822539415618718
1765852793.4998953,PASSA,-0.519240531948728,-0.4435432946468513,-0.07485162276655276,0.7266745147069851,0.02746006784038175,-0.04423260417168247,-0.0021845166693835686
1765852793.5018456,PASSA,-0.5171942957104935,-0.4451835520363094,-0.07272693643496138,0.7273461749384859,0.029611155695131175,-0.04535646105631554,-0.0022026684615425516
1765852793.5448978,PASSA,-0.4584646599120405,-0.48203278864664023,0.004173197588263255,0.7466171245713361,0.111520627170944,-0.0719896882485257,-0.00263283071006925
1765852793.5450265,PASSA,-0.4581105388223439,-0.48225781909740556,0.004718072805191895,0.746685924554843,0.11199355862843419,-0.07214314374049188,-0.0026353092215540413
1765852793.5476096,PASSA,-0.45504977437857075,-0.484521690698703,0.010032366280439397,0.7470393468267232,0.11626410397129605,-0.07347797169354113,-0.0026572900338975394
1765852793.547882,PASSA,-0.4543441518351825,-0.4850390828486749,0.011280180818636755,0.7471152771314368,0.11724746137839025,-0.07378204428475385,-0.0026623333170848126
1765852793.5900877,PASSA,-0.3958484789677707,-0.5202343252518153,0.11349327760510446,0.748184138075074,0.21152324572049652,-0.07661890277616225,-0.003066120364731814
1765852793.6350899,PASSA,-0.33280630216916784,-0.5401381193141067,0.2271245561883982,0.7388539864388143,0.3116690833394014,-0.051107416592799486,-0.003495049091111161
1765852793.6351893,PASSA,-0.33255103960904275,-0.5401695798556968,0.22761805798526397,0.7387940516358276,0.3120879752272373,-0.05100021648065876,-0.003496843222232454
1765852793.6368728,PASSA,-0.3305688855240606,-0.5401756343384481,0.2319144570024174,0.738342861158493,0.31559090616823204,-0.05006729553529995,-0.0035119053118219377
1765852793.6369846,PASSA,-0.3303783161623275,-0.5401507832434819,0.23235409729135859,0.7383081152493964,0.3159459234226057,-0.04997239139698441,-0.00351343294607047
1765852793.638726,PASSA,-0.328377121897727,-0.5397877490229545,0.2367741671836894,0.7380620878851369,0.3195630569039592,-0.048970254945607194,-0.0035291375316934084
1765852793.679904,PASSA,-0.27711158297265376,-0.5256359326639208,0.33495778202884346,0.7312450486213481,0.384446412003475,-0.01548286348020455,-0.0039006627655976695
1765852793.6800451,PASSA,-0.276844200091805,-0.5255236740433598,0.3354179960116495,0.731216058936773,0.3847951827393415,-0.015302546756929304,-0.003902663286087923
1765852793.6820138,PASSA,-0.27491753167521327,-0.5244881789537537,0.3388204277405461,0.7311177871322082,0.3875723301756043,-0.013846081677618862,-0.00391882201047896
1765852793.7250633,PASSA,-0.23354208648362523,-0.4946763318555799,0.41205928002241515,0.7286704126628116,0.431054439359405,0.020197125264431626,-0.004296513728720544
1765852793.7251973,PASSA,-0.23335569326247343,-0.49449414239014877,0.41240583899239236,0.7286577300274818,0.4312808674391948,0.020374884286683454,-0.004298485872844966
1765852793.7266152,PASSA,-0.23237671207101845,-0.49339439958734055,0.41436263734050854,0.728605953118096,0.4326424120758652,0.021462534480442788,-0.004310552787434594
1765852793.7700772,PASSA,-0.20783774750053857,-0.46081254013573864,0.4665553597064754,0.7257970583411814,0.4534715322487364,0.05469626783125333,-0.004679263816163963
1765852793.7701836,PASSA,-0.20773406980079712,-0.4606229161025605,0.46681400568933784,0.7257807998958403,0.4536046072195162,0.0549098309936958,-0.004681633188647387
1765852793.7716458,PASSA,-0.20734330573299162,-0.45974674592776676,0.4679141275905736,0.7257396588155405,0.45424547351107203,0.055966431120165305,-0.004693355618850271
1765852793.77176,PASSA,-0.20730820896344515,-0.459660364965308,0.4680162239986259,0.7257385682533322,0.4543115728833255,0.05607569973490605,-0.004694567897438524
1765852793.814259,PASSA,-0.19654215988500803,-0.43689729738254807,0.494159049132436,0.7254645167670766,0.46091538345376987,0.08722966472869213,-0.005040204975301685
1765852793.814472,PASSA,-0.19642678294385452,-0.43670282566732754,0.4943846807717683,0.7254591293895861,0.4609756301656588,0.08751878421498793,-0.005043412605997056
1765852793.815813,PASSA,-0.19603483442486738,-0.43622013078199,0.4949630632891849,0.7254611686175523,0.4611561799797872,0.08843443936256623,-0.005053571324786219
1765852793.8588073,PASSA,-0.18419073789353513,-0.42254672967062124,0.5097248501386865,0.726435551490971,0.4571710132325744,0.11915843717494218,-0.0053944381398533196
1765852793.8589242,PASSA,-0.18414204528379607,-0.42248367096686146,0.5097768114985672,0.7264481105925044,0.45715013108131664,0.1193175123430556,-0.005396202996309898
1765852793.860559,PASSA,-0.18394091531063708,-0.42204700228628705,0.5099536982253026,0.726628717573274,0.45700155933615955,0.12044929589571905,-0.005408759547618671
